idpais;Pais;dep;Departamento;prov;Provincia;sec;Municipio;idloc;Localidad;dist;Distrito;zona;NomZona;reci;otros;idRecinto;Recinto;nombre;NumMesa;CodigoMesa;VotosConvergencia;VotosPulso;VotosMuspa;votosValidos;VotosBsd;VotosGente;VotosAs;VotosUn;Validos;votosNulos;votosBlancos;votosEmitidos;inscritos
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;101;ACHACHICALA                             ;101;ESC. IND. PEDRO DOMINGO MURILLO;10;ESC IND PEDRO DOMINGO MURILLO           ;1;322507290010101;20004;29;0;1;149;1;1;6;41;228;4;0;232;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;101;ACHACHICALA                             ;101;ESC. IND. PEDRO DOMINGO MURILLO;10;ESC IND PEDRO DOMINGO MURILLO           ;2;322507290010102;20005;35;0;2;143;0;2;4;37;223;5;2;230;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;101;ACHACHICALA                             ;101;ESC. IND. PEDRO DOMINGO MURILLO;10;ESC IND PEDRO DOMINGO MURILLO           ;3;322507290010103;20006;23;1;2;168;0;1;3;28;226;3;4;233;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;101;ACHACHICALA                             ;101;ESC. IND. PEDRO DOMINGO MURILLO;10;ESC IND PEDRO DOMINGO MURILLO           ;4;322507290010104;20007;26;0;0;177;0;2;5;19;229;1;0;230;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;101;ACHACHICALA                             ;101;ESC. IND. PEDRO DOMINGO MURILLO;10;ESC IND PEDRO DOMINGO MURILLO           ;5;322507290010105;20008;20;1;2;157;1;0;5;29;215;4;4;223;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;101;ACHACHICALA                             ;101;ESC. IND. PEDRO DOMINGO MURILLO;10;ESC IND PEDRO DOMINGO MURILLO           ;6;322507290010106;20009;36;1;1;136;0;1;9;36;220;5;2;227;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;101;ACHACHICALA                             ;101;ESC. IND. PEDRO DOMINGO MURILLO;10;ESC IND PEDRO DOMINGO MURILLO           ;7;322507290010107;20010;33;0;4;127;0;0;3;51;218;2;3;223;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;101;ACHACHICALA                             ;101;ESC. IND. PEDRO DOMINGO MURILLO;10;ESC IND PEDRO DOMINGO MURILLO           ;8;322507290010108;20011;26;1;1;152;0;1;14;20;215;5;2;222;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;101;ACHACHICALA                             ;101;ESC. IND. PEDRO DOMINGO MURILLO;10;ESC IND PEDRO DOMINGO MURILLO           ;9;322507290010109;20012;42;0;3;127;0;4;5;38;219;4;3;226;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;101;ACHACHICALA                             ;101;ESC. IND. PEDRO DOMINGO MURILLO;10;ESC IND PEDRO DOMINGO MURILLO           ;10;322507290010110;20013;14;0;1;180;0;0;4;27;226;5;0;231;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;101;ACHACHICALA                             ;101;ESC. IND. PEDRO DOMINGO MURILLO;10;ESC IND PEDRO DOMINGO MURILLO           ;11;322507290010111;20014;41;0;0;156;0;0;5;22;224;2;4;230;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;101;ACHACHICALA                             ;101;ESC. IND. PEDRO DOMINGO MURILLO;10;ESC IND PEDRO DOMINGO MURILLO           ;12;322507290010112;20015;31;1;0;138;1;0;11;36;218;3;0;221;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;101;ACHACHICALA                             ;101;ESC. IND. PEDRO DOMINGO MURILLO;10;ESC IND PEDRO DOMINGO MURILLO           ;13;322507290010113;20016;37;0;1;148;0;0;13;25;224;5;1;230;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;101;ACHACHICALA                             ;101;ESC. IND. PEDRO DOMINGO MURILLO;10;ESC IND PEDRO DOMINGO MURILLO           ;14;322507290010114;20017;17;1;1;168;0;0;5;24;216;6;3;225;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;101;ACHACHICALA                             ;101;ESC. IND. PEDRO DOMINGO MURILLO;10;ESC IND PEDRO DOMINGO MURILLO           ;15;322507290010115;20018;37;0;1;133;0;1;11;33;216;2;4;222;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;101;ACHACHICALA                             ;101;ESC. IND. PEDRO DOMINGO MURILLO;10;ESC IND PEDRO DOMINGO MURILLO           ;16;322507290010116;20019;21;1;1;154;1;0;5;36;219;7;1;227;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;101;ACHACHICALA                             ;101;ESC. IND. PEDRO DOMINGO MURILLO;10;ESC IND PEDRO DOMINGO MURILLO           ;17;322507290010117;20020;39;0;2;127;0;0;11;35;214;5;5;224;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;101;ACHACHICALA                             ;101;ESC. IND. PEDRO DOMINGO MURILLO;10;ESC IND PEDRO DOMINGO MURILLO           ;18;322507290010118;20021;28;1;0;121;1;1;0;27;179;3;0;182;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;102;ALTO ACHACHICALA                        ;102;ESC. EDUCACIONAL LUIS  ERNEST;131;ESC. EDUCACIONAL LUIS  ERNEST           ;1;322507290010201;20022;38;2;3;129;0;2;3;43;220;3;3;226;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;102;ALTO ACHACHICALA                        ;102;ESC. EDUCACIONAL LUIS  ERNEST;131;ESC. EDUCACIONAL LUIS  ERNEST           ;2;322507290010202;20023;21;0;4;158;1;1;6;30;221;2;5;228;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;102;ALTO ACHACHICALA                        ;102;ESC. EDUCACIONAL LUIS  ERNEST;131;ESC. EDUCACIONAL LUIS  ERNEST           ;3;322507290010203;20024;41;1;4;140;1;0;5;33;225;3;3;231;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;102;ALTO ACHACHICALA                        ;102;ESC. EDUCACIONAL LUIS  ERNEST;131;ESC. EDUCACIONAL LUIS  ERNEST           ;4;322507290010204;20025;33;0;0;146;2;3;3;33;220;11;1;232;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;102;ALTO ACHACHICALA                        ;102;ESC. EDUCACIONAL LUIS  ERNEST;131;ESC. EDUCACIONAL LUIS  ERNEST           ;5;322507290010205;20026;29;3;0;157;0;1;1;30;221;4;3;228;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;102;ALTO ACHACHICALA                        ;102;ESC. EDUCACIONAL LUIS  ERNEST;131;ESC. EDUCACIONAL LUIS  ERNEST           ;6;322507290010206;20027;35;2;3;140;0;2;5;40;227;3;1;231;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;102;ALTO ACHACHICALA                        ;102;ESC. EDUCACIONAL LUIS  ERNEST;131;ESC. EDUCACIONAL LUIS  ERNEST           ;7;322507290010207;20028;21;1;0;53;2;3;3;22;105;2;0;107;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;102;ALTO ACHACHICALA                        ;103;COL. EDUCACIONAL AMERICA;191;COL. EDUCACIONAL AMERICA                ;1;322507290010301;20029;29;1;2;157;0;1;4;25;219;5;7;231;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;102;ALTO ACHACHICALA                        ;103;COL. EDUCACIONAL AMERICA;191;COL. EDUCACIONAL AMERICA                ;2;322507290010302;20030;29;1;1;154;0;2;8;29;224;5;2;231;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;102;ALTO ACHACHICALA                        ;103;COL. EDUCACIONAL AMERICA;191;COL. EDUCACIONAL AMERICA                ;3;322507290010303;20031;20;1;4;158;0;3;7;28;221;3;5;229;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;102;ALTO ACHACHICALA                        ;103;COL. EDUCACIONAL AMERICA;191;COL. EDUCACIONAL AMERICA                ;4;322507290010304;20032;15;0;1;169;1;3;13;24;226;4;1;231;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;102;ALTO ACHACHICALA                        ;103;COL. EDUCACIONAL AMERICA;191;COL. EDUCACIONAL AMERICA                ;5;322507290010305;20033;21;1;3;160;0;1;6;25;217;11;3;231;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;102;ALTO ACHACHICALA                        ;103;COL. EDUCACIONAL AMERICA;191;COL. EDUCACIONAL AMERICA                ;6;322507290010306;20034;16;1;1;153;2;4;6;29;212;7;2;221;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;102;ALTO ACHACHICALA                        ;103;COL. EDUCACIONAL AMERICA;191;COL. EDUCACIONAL AMERICA                ;7;322507290010307;20035;19;0;1;160;0;1;4;37;222;4;3;229;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;102;ALTO ACHACHICALA                        ;103;COL. EDUCACIONAL AMERICA;191;COL. EDUCACIONAL AMERICA                ;8;322507290010308;20036;16;0;2;174;0;3;2;19;216;3;2;221;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;102;ALTO ACHACHICALA                        ;103;COL. EDUCACIONAL AMERICA;191;COL. EDUCACIONAL AMERICA                ;9;322507290010309;20037;33;0;2;153;0;2;5;26;221;2;3;226;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;102;ALTO ACHACHICALA                        ;103;COL. EDUCACIONAL AMERICA;191;COL. EDUCACIONAL AMERICA                ;10;322507290010310;20038;28;0;0;151;0;3;2;40;224;4;1;229;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;102;ALTO ACHACHICALA                        ;103;COL. EDUCACIONAL AMERICA;191;COL. EDUCACIONAL AMERICA                ;11;322507290010311;20039;12;1;3;170;0;1;5;26;218;7;2;227;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;102;ALTO ACHACHICALA                        ;103;COL. EDUCACIONAL AMERICA;191;COL. EDUCACIONAL AMERICA                ;12;322507290010312;20040;31;1;1;155;0;1;7;24;220;9;1;230;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;102;ALTO ACHACHICALA                        ;103;COL. EDUCACIONAL AMERICA;191;COL. EDUCACIONAL AMERICA                ;13;322507290010313;20041;16;0;1;154;0;1;9;30;211;8;4;223;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;102;ALTO ACHACHICALA                        ;103;COL. EDUCACIONAL AMERICA;191;COL. EDUCACIONAL AMERICA                ;14;322507290010314;20042;33;3;2;149;1;0;7;36;231;6;2;239;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;102;ALTO ACHACHICALA                        ;104;SEDE SOCIAL PLAN AUTOPISTA;59;SEDE SOCIAL PLAN AUTOPISTA              ;1;322507290010401;20043;40;0;2;142;0;1;5;25;215;5;8;228;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;102;ALTO ACHACHICALA                        ;104;SEDE SOCIAL PLAN AUTOPISTA;59;SEDE SOCIAL PLAN AUTOPISTA              ;2;322507290010402;20044;15;0;2;177;0;0;6;27;227;5;5;237;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;102;ALTO ACHACHICALA                        ;104;SEDE SOCIAL PLAN AUTOPISTA;59;SEDE SOCIAL PLAN AUTOPISTA              ;3;322507290010403;20045;34;1;2;151;0;2;2;25;217;6;6;229;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;102;ALTO ACHACHICALA                        ;104;SEDE SOCIAL PLAN AUTOPISTA;59;SEDE SOCIAL PLAN AUTOPISTA              ;4;322507290010404;20046;23;1;0;181;1;1;1;19;227;2;3;232;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;102;ALTO ACHACHICALA                        ;104;SEDE SOCIAL PLAN AUTOPISTA;59;SEDE SOCIAL PLAN AUTOPISTA              ;5;322507290010405;20047;36;0;2;141;0;0;10;27;216;7;6;229;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;102;ALTO ACHACHICALA                        ;104;SEDE SOCIAL PLAN AUTOPISTA;59;SEDE SOCIAL PLAN AUTOPISTA              ;6;322507290010406;20048;34;1;1;142;0;1;3;28;210;11;4;225;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;103;LIMANIPATA                              ;105;ESC. LIMANIPATA 10 DE JUNIO;160;ESC. LIMANIPATA 10 DE JUNIO             ;1;322507290010501;20049;5;0;0;202;1;2;1;8;219;5;7;231;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;103;LIMANIPATA                              ;105;ESC. LIMANIPATA 10 DE JUNIO;160;ESC. LIMANIPATA 10 DE JUNIO             ;2;322507290010502;20050;4;1;0;198;0;0;1;13;217;6;4;227;999
32;Bolivia;2;La Paz         ;1;Murillo                                 ;1;NUESTRA SEÑORA DE LA PAZ;729;Nuestra Señora de La Paz;1;DISTRITO 1                              ;103;LIMANIPATA                              ;105;ESC. LIMANIPATA 10 DE JUNIO;160;ESC. LIMANIPATA 10 DE JUNIO             ;3;322507290010503;20051;1;0;0;201;0;0;2;7;211;6;7;224;999
