oso;nombre;inscritos;MAS;votosBlancos;votosNulos;votosValidos;votosEmitidos;idRecinto;Recinto;Zona;PDC;PVB_IEP;MSM;MAS;UD
;190010101;235;112;0;4;209;213;10;ESC IND PEDRO DOMINGO MURILLO           ;ACHACHICALA                             ;21;12;9;112;55
;190010102;231;114;4;0;210;214;10;ESC IND PEDRO DOMINGO MURILLO           ;ACHACHICALA                             ;31;9;16;114;40
;190010103;234;111;2;7;208;217;10;ESC IND PEDRO DOMINGO MURILLO           ;ACHACHICALA                             ;30;10;12;111;45
;190010104;237;144;1;4;217;222;10;ESC IND PEDRO DOMINGO MURILLO           ;ACHACHICALA                             ;17;11;13;144;32
;190010105;233;133;0;2;215;217;10;ESC IND PEDRO DOMINGO MURILLO           ;ACHACHICALA                             ;16;15;5;133;46
;190010106;232;131;0;6;205;211;10;ESC IND PEDRO DOMINGO MURILLO           ;ACHACHICALA                             ;25;9;7;131;33
;190010107;234;97;0;4;200;204;10;ESC IND PEDRO DOMINGO MURILLO           ;ACHACHICALA                             ;32;18;12;97;41
;190010108;234;103;2;8;203;213;10;ESC IND PEDRO DOMINGO MURILLO           ;ACHACHICALA                             ;28;10;18;103;44
;190010109;238;128;1;11;211;223;10;ESC IND PEDRO DOMINGO MURILLO           ;ACHACHICALA                             ;33;8;9;128;33
;190010110;233;115;4;6;208;218;10;ESC IND PEDRO DOMINGO MURILLO           ;ACHACHICALA                             ;19;16;18;115;40
;190010111;234;95;2;9;203;214;10;ESC IND PEDRO DOMINGO MURILLO           ;ACHACHICALA                             ;28;13;16;95;51
;190010112;234;138;3;4;208;215;10;ESC IND PEDRO DOMINGO MURILLO           ;ACHACHICALA                             ;16;17;6;138;31
;190010113;235;111;0;5;212;217;10;ESC IND PEDRO DOMINGO MURILLO           ;ACHACHICALA                             ;30;11;11;111;49
;190010114;235;102;1;5;210;216;10;ESC IND PEDRO DOMINGO MURILLO           ;ACHACHICALA                             ;29;13;17;102;49
;190010115;225;98;3;5;197;205;10;ESC IND PEDRO DOMINGO MURILLO           ;ACHACHICALA                             ;29;10;11;98;49
;190010116;230;128;0;7;208;215;10;ESC IND PEDRO DOMINGO MURILLO           ;ACHACHICALA                             ;25;5;14;128;36
