MESA,INSCRITOS,ASISTENCIA,VOTOS VALIDOS,VOTOS BLANCOS ,VOTOS NULOS,VOTOS EMITIDOS,% VOTOS VALIDOS,% VOTOS BLANCOS ,% VOTOS NULOS,% VOTOS EMITIDOS,RECINTO,ZONA,DISTRITO,CIRCUNSCRIPCION,
1,145,0,,,,0,0.00%,0.00%,0.00%,0.00%,Unidad Educativa Arabe De Egipto,GRAN_PODER,DISTRITO_22,8,
1,182,74,66,2,6,74,36.26%,1.10%,3.30%,40.66%,Colegio Francia,CHALLAPAMPA,DISTRITO_29,9,
1,144,63,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Walter Straub,COTA_COTA,DISTRITO_13,7,
1,140,0,13,0,0,13,9.29%,0.00%,0.00%,9.29%,(Cárcel) Panóptico,SAN_PEDRO_BAJO,DISTRITO_21,8,
2,102,46,,,,0,0.00%,0.00%,0.00%,0.00%,Unidad Educativa Arabe De Egipto,GRAN_PODER,DISTRITO_22,8,
4,80,38,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Walter Straub,COTA_COTA,DISTRITO_13,7,
1,147,35,,,,0,0.00%,0.00%,0.00%,0.00%,Unidad Educativa Republica de Cuba,SAN_PEDRO_BAJO,DISTRITO_21,8,
2,144,62,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Walter Straub,COTA_COTA,DISTRITO_13,7,
2,92,39,34,1,4,39,36.96%,1.09%,4.35%,42.39%,Colegio Francia,CHALLAPAMPA,DISTRITO_29,9,
3,130,52,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Walter Straub,COTA_COTA,DISTRITO_13,7,
1,176,16,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Ind. Pedro Domingo Murillo,ACHACHICALA,DISTRITO_1,9,
3,61,0,,,,0,0.00%,0.00%,0.00%,0.00%,Unidad Educativa Republica de Cuba,SAN_PEDRO_BAJO,DISTRITO_21,8,
2,160,72,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Ind. Pedro Domingo Murillo,ACHACHICALA,DISTRITO_1,9,
5,61,0,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Ind. Pedro Domingo Murillo,ACHACHICALA,DISTRITO_1,9,
3,155,51,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Ind. Pedro Domingo Murillo,ACHACHICALA,DISTRITO_1,9,
2,152,67,,,,0,0.00%,0.00%,0.00%,0.00%,Unidad Educativa Republica de Cuba,SAN_PEDRO_BAJO,DISTRITO_21,8,
1,177,63,,,,0,0.00%,0.00%,0.00%,0.00%,Unidad Educativa Puerto Rico,TEMBLADERANI20,DISTRITO_20,8,
4,163,76,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Ind. Pedro Domingo Murillo,ACHACHICALA,DISTRITO_1,9,
3,174,70,,,,0,0.00%,0.00%,0.00%,0.00%,Unidad Educativa Puerto Rico,TEMBLADERANI20,DISTRITO_20,8,
2,181,0,,,,0,0.00%,0.00%,0.00%,0.00%,Unidad Educativa Puerto Rico,TEMBLADERANI20,DISTRITO_20,8,
1,105,45,,,,0,0.00%,0.00%,0.00%,0.00%,Escuela Rosemari de Barrientos,IRPAVI,DISTRITO_11,7,
4,87,38,,,,0,0.00%,0.00%,0.00%,0.00%,Unidad Educativa Puerto Rico,TEMBLADERANI20,DISTRITO_20,8,
2,116,40,,,,0,0.00%,0.00%,0.00%,0.00%,Escuela Rosemari de Barrientos,IRPAVI,DISTRITO_11,7,
6,105,51,,,,0,0.00%,0.00%,0.00%,0.00%,Escuela Rosemari de Barrientos,IRPAVI,DISTRITO_11,7,
